id,eng_paranthesis,swe_paranthesis
ACM576,,(t.ex. neuronnät)
ICT2994,(SBVR),
ACM620,(1),(1)
ACM60,(7.1),(7.1)
ICT3000,(SAFF),
ICT3014,(SPI),
ICT3031,(SLA),
ICT3033,(SOA),
ICT3042,(SIMPLE),
ICT3045,(STB),
ICT3067,(SMS),
ICT3081,(SIGTRAN),
ICT3082,(SS7),
ACM1235,(G.3),(G.3)
ICT3104,(SSB),
ICT3121,(SME),(SMF)
ICT3125,(SOHO),
ICT3140,,(s.k.)
ICT3143,(OSNS),
ICT3148,(soft-SE),(SE)
ICT3152,(SaaS),
ACM314,(K.6.3),
ACM1429,(2.9),
ACM393,(SQA),(SQA)
ICT3161,(SDN),
ACM345,(F.3.1),
ACM273,(J.7),
ACM1126,,(splines)
ACM63,(SRAM),(SRAM)
ICT3244,(SCTP),
ICT3258,(SMI),
ICT3272,(SIM),
ACM289,(very large),(mycket stora datorer)
ICT3300,(SCADA),
ICT3309,(SVM),
ICT3343,(SoC),
ICT3348,(SUT),
ICT3349,(SoC),
ICT3363,(KM),
ICT3384,(telco),
ICT3385,(telecom),
ICT3432,(3PCC),
ICT3459,(TDC),
ICT3460,(HTML+TIME),
ICT3479,(TCL),
ACM609,(1.3),(1.3)
ICT3506,(TM),
ICT3520,(TLS),
ICT3531,(3-DES),
ICT3532,(TFTP),
ICT3548,(TSP),
ACM1240,(continuous and discrete),(kontinuerliga och diskreta)
ICT3562,(UHF),
ICT3594,(USB),
ICT3634,(UNI),
ICT3654,(VAS),
ICT3667,(VST),(VST)
ICT3689,(VoD),
ICT3697,(VLAN),
ICT3699,(VPN),
ACM169,(very large scale integration),
ICT3714,(VoIP),
ICT3719,(VoWLAN),
ICT3729,(WEKA),
ICT3740,(WDM),
ICT3741,(WDM),
ICT3742,(WDM-PON/WDMPON),
ICT3752,(OWL),
ICT3756,(WebRTC),
ICT3759,(blogs),
ICT3775,(WCDMA),
ICT3781,(widget),
ICT3793,(WLAN),
ICT3795,(M2M),(m2m)
ICT3801,(WPAN),
ICT3805,(WSN),
ICT3833,(WCET),
