,id,eng_lemma,swe_lemma,status,pos,src
1201,ICT619,context information,sammanhangsinformation,bronze,N?,ICT
1202,ICT620,context information distribution,kontextuell informationsfördelning,bronze,N?,ICT
1203,ICT621,context meta-data,kontextuell metadata,bronze,N?,ICT
1204,GF353,context,kontext,silver,N,GF
1205,ICT622,context-aware application,kontextmedveten applikation,bronze,N?,ICT
1206,ICT623,context-aware computing,kontextmedveten databehandling,bronze,N?,ICT
1207,ICT624,context-aware services,kontextmedvetna tjänster,bronze,N?,ICT
1208,ICT625,context-dependency,kontextberoende,bronze,N?,ICT
1209,GF354,context-free,kontextfri,silver,A,GF
1210,ACM546,Contiguous representations [**],Angränsande representationer,bronze,N?,ACM
1211,ACM781,Contingency table analysis,,bronze,N?,ACM
1212,GF355,continual,ständig,silver,A,GF
1213,ICT626,continually,kontinuerligt/oavbrutet,bronze,N?,ICT
1214,ICT627,continuation,fortsättning,bronze,N?,ICT
1215,ACM713,Continuation (homotopy) methods,,bronze,N?,ACM
1216,GF356,continuation,fortsättning,silver,N,GF
1217,ICT628,continue continues  continued continuing,fortsätta fortsätter fortsatt fortsatt,bronze,N?,ICT
1218,GF357,continuity,kontinuitet,silver,N,GF
1219,ACM1252,Continuous,Kontinuerlig,bronze,N?,ACM
1220,GF358,continuous,kontinuerlig,silver,A,GF
1221,ICT629,continuous double auction,kontinuerlig dubbel auktion,bronze,N?,ICT
1222,ICT630,continuous improvement,ständiga förbättringar,bronze,N?,ICT
1223,ICT631,contract,kontrakt,bronze,N?,ICT
1224,ACM1410,Contracts [**],Avtal [**],bronze,N?,ACM
1225,GF359,contravariance,kontravarians,silver,N,GF
1226,ICT632,contribute contributing contributed contribution,bidra bidragande bidragit bidrag,bronze,N?,ICT
1227,ICT633,control channel elements (CCE),kontrollkanalelementen,bronze,N?,ICT
1228,ICT634,control controls controlling controlled controller,"""styr kontroller """"som styr"""" styrd regulator""",bronze,N?,ICT
1229,ACM118,Control design,Kontrolldesign,bronze,N?,ACM
1230,ACM13,Control Design Styles,Kontrolldesignmodeller,bronze,N?,ACM
1231,GF360,control flow,programflöde,silver,N,GF
1232,ICT635,control plane,styrplanet,bronze,N?,ICT
1233,ACM628,Control primitives,,bronze,N?,ACM
1234,ACM17,Control Structure Performance Analysis and Design Aids,Styrstrukturer: hjälpmedel för prestandaanalys och konstruktion,bronze,N?,ACM
1235,ACM21,Control Structure Reliability,Styrstrukturer: tillförlitlighet,bronze,N?,ACM
1236,ACM441,Control structures,Kontrollstrukturer,bronze,N?,ACM
1237,ACM11,CONTROL STRUCTURES AND MICROPROGRAMMING (3.2),KONTROLLSTRUKTURER OCH MIKROPROGRAMMERING,bronze,N?,ACM
1238,GF361,control system,styrsystem,silver,N,GF
1239,ACM1053,Control theory,Kontrollteori,bronze,N?,ACM
1240,ICT636,control theory,reglerteknik,bronze,N?,ICT
1241,GF362,control unit,styrenhet,silver,N,GF
1242,GF363,control, kontrollera,silver,V,GF
1243,GF364,control,kontroll,silver,N,GF
1244,ICT637,Controller Area Network (CAN),,bronze,N?,ICT
1245,ICT638,Controller Area Network (CAN) to Ethernet converter,,bronze,N?,ICT
1246,ICT639,Controller Area Network bus (CANbus),,bronze,N?,ICT
1247,GF365,controller,kontrollant,silver,N,GF
1248,ICT640,convenience,bekvämlighet,bronze,N?,ICT
1249,ICT641,convention,konvention,bronze,N?,ICT
1250,GF366,convention,konvention,silver,N,GF
1251,ICT642,conventional ERP system,konventionella affärssystem,bronze,N?,ICT
1252,ACM714,Convergence,,bronze,N?,ACM
1253,ICT643,convergence,konvergens,bronze,N?,ICT
1254,ACM735,Convergence and stability,,bronze,N?,ACM
1255,ICT644,convergence drivers,konvergensdrivare,bronze,N?,ICT
1256,ICT645,convergence services,konvergenstjänster,bronze,N?,ICT
1257,GF367,convergence,konvergens,silver,N,GF
1258,ICT646,convergent converged convergence converging,konvergent konvergerade konvergens konvergerande,bronze,N?,ICT
1259,ICT647,conversation conversations conversational  conversely conversion,konversation konversationer konversationell omvänt konvertering,bronze,N?,ICT
1260,ICT648,conversion,omvandling,bronze,N?,ICT
1261,ICT649,convert converts converter converted converting,konvertera omvandlar omvandlare konverterad omvandla,bronze,N?,ICT
1262,GF368,convert, omvandla,silver,V,GF
1263,GF369,converter,konverterare,silver,N,GF
1264,ACM721,Convex programming,,bronze,N?,ACM
1265,ICT650,convey,förmedla/överföra,bronze,N?,ICT
1266,ICT651,convolutional coding,faltningskodning,bronze,N?,ICT
1267,GF370,cooling,kylning,silver,N,GF
1268,ICT652,cooperation cooperating,samverkan samarbetsvilliga,bronze,N?,ICT
1269,ICT653,cooperative,kooperativ,bronze,N?,ICT
1270,GF371,cooperative,samverkande,silver,A,GF
1271,ICT654,cooperative spectrum sensing,kooperativ spektrumavkänning,bronze,N?,ICT
1272,ICT655,cooperatives,kooperativen,bronze,N?,ICT
1273,ICT656,coordinate (verb) coordination coordinated coordinating,samordna samordnas samordnande samordning,bronze,N?,ICT
1274,GF372,coordinate, samordna,silver,V,GF
1275,ICT658,coordinate-based,coordinat-baserad,bronze,N?,ICT
1276,ICT657,coordinate|s (nouns),koordinat|koordinater,bronze,N?,ICT
1277,ICT659,coorelation,samordning,bronze,N?,ICT
1278,ICT662,copy copies copied copying,kopiera/kopia kopior  kopierar kopierade kopiering,bronze,N?,ICT
1279,GF373,copy, kopiera,silver,V,GF
1280,GF374,copyright,upphovsrätt,silver,N,GF
1281,ACM1400,Copyrights,Copyright,bronze,N?,ACM
1282,ACM386,Copyrights [**],Upphovsrätt [**] ,bronze,N?,ACM
1283,ICT663,copyright|s,upphovsrätt,bronze,N?,ICT
1284,ICT664,CORBA programming,CORBA programmering,bronze,N?,ICT
1285,ICT665,cordless,sladdlös,bronze,N?,ICT
1286,GF375,core memory,kärnminne,silver,N,GF
1287,GF376,core,kärna,silver,N,GF
1288,ICT666,core-shell,kärna-skal,bronze,N?,ICT
1289,ICT667,corner-cube,hörn-kub,bronze,N?,ICT
1290,ACM442,Coroutines,,bronze,N?,ACM
1291,ICT668,corporate,företags,bronze,N?,ICT
1292,ICT669,corporate news,företagsnyheter,bronze,N?,ICT
1293,ICT670,corporate performance management,verksamhetsstyrning,bronze,N?,ICT
1294,ICT671,corporate social networking,företagens sociala nätverk,bronze,N?,ICT
1295,ICT672,corporate social networks,företagsbaserade sociala nätverk,bronze,N?,ICT
1296,GF377,corporation,bolag,silver,N,GF
1297,ICT673,correct correction correcting,korrekt korrigering korrigera,bronze,N?,ICT
1298,GF378,correction,rättelse,silver,N,GF
1299,ACM372,Corrections [**],Korrigeringar [**],bronze,N?,ACM
1300,ACM348,Correctness proofs,Bevis på felfrihet,bronze,N?,ACM
1301,GF379,correctness,korrekthet,silver,N,GF
1302,ACM782,Correlation and regression analysis,,bronze,N?,ACM
1303,ICT674,correlation/correlation,korrelation/korrelationer,bronze,N?,ICT
1304,ICT675,Cost Benefit Analysis (CBA),kostnad-nytta-analys,bronze,N?,ICT
1305,ICT676,cost costs,kostnad kostnader,bronze,N?,ICT
1306,ACM387,Cost estimation,Kostnadsberäkning/uppskattning,bronze,N?,ACM
1307,GF380,cost,kostnad,silver,N,GF
1308,ICT677,cost-saving,kostnadsbesparande,bronze,N?,ICT
1309,ACM56,Cost/performance,Kostnad/prestanda,bronze,N?,ACM
1310,ICT678,count,räkna,bronze,N?,ICT
1311,ICT679,countdown,nedräkning,bronze,N?,ICT
1312,ICT682,counter- improvised explosive device (IED),kontra-IED,bronze,N?,ICT
1313,GF381,countermeasure,motåtgärd,silver,N,GF
1314,ICT683,countermeasures,motåtgärder,bronze,N?,ICT
1315,ICT680,counterpart,motsvarighet,bronze,N?,ICT
1316,ICT681,counterpoint,kontrapunkt,bronze,N?,ICT
1317,ICT684,counties,länen,bronze,N?,ICT
1318,ACM767,Counting problems,,bronze,N?,ACM
1319,ICT685,country countries,land länderna,bronze,N?,ICT
1320,ICT686,county-level,län-nivå,bronze,N?,ICT
1321,ICT687,coupled coupling,kopplad koppling,bronze,N?,ICT
1322,GF382,coupler,koppling,silver,N,GF
1323,ICT689,course evaluation,kursutvärdering,bronze,N?,ICT
1324,GF383,course plan,kursplan,silver,N,GF
1325,GF384,course,kurs,silver,N,GF
1326,ICT688,course|s,kurs|er,bronze,N?,ICT
1327,GF385,covariance,kovarians,silver,N,GF
1328,ICT690,cover covered,täck täckt,bronze,N?,ICT
1329,ICT691,coverage,täckning,bronze,N?,ICT
1330,ICT692,cracking,krackning/sprickbildning,bronze,N?,ICT
1331,ICT693,create creates creating created,skapa,bronze,N?,ICT
1332,GF386,create, skapa,silver,V,GF
1333,ICT694,creation,skapande,bronze,N?,ICT
1334,GF387,creativity,kreativitet,silver,N,GF
1335,ICT695,credit credited,kredit kredite,bronze,N?,ICT
1336,ICT696,criteria,kriterier,bronze,N?,ICT
1337,ICT697,critical,kritisk,bronze,N?,ICT
1338,ICT698,criticized,kritiserats,bronze,N?,ICT
1339,ICT700,cross platform tools,multiplattformsverktyg,bronze,N?,ICT
1340,GF388,cross,kors,silver,N,GF
1341,ICT701,cross-border,gränsöverskridande,bronze,N?,ICT
1342,ICT702,cross-border planning,gränsöverskridande planering,bronze,N?,ICT
1343,ICT703,cross-cultural,tvärkulturell,bronze,N?,ICT
1344,ICT704,cross-layer optimization,kors-nivå optimering,bronze,N?,ICT
1345,ICT705,Cross-Site Request Forgery (CSRF),,bronze,N?,ICT
1346,GF389,crosstalk,överhörning,silver,N,GF
1347,ICT699,cruise,kryssning,bronze,N?,ICT
1348,ICT706,Cryptanalysis,kryptoanalys,bronze,N?,ICT
1349,GF390,cryptanalysis,kryptanalys,silver,N,GF
1350,ICT707,cryptographic,kryptografisk,bronze,N?,ICT
1351,ACM507,Cryptographic controls,Kryptografiska kontroller,bronze,N?,ACM
1352,ICT708,cryptographically generated addresses,kryptografiskt genererade adresser,bronze,N?,ICT
1353,ICT709,cryptography,kryptografi,bronze,N?,ICT
1354,GF391,cryptography,kryptografi,silver,N,GF
1355,GF392,cryptology,kryptologi,silver,N,GF
1356,GF393,crystal,kristall,silver,N,GF
1357,ICT710,cubic,kubisk,bronze,N?,ICT
1358,ICT711,cultural difference,kulturell skillnad,bronze,N?,ICT
1359,ICT712,cultural usability,kulturell användbarhet,bronze,N?,ICT
1360,ICT713,culture|s,kultur|er,bronze,N?,ICT
1361,ICT714,cumulative,kumulativ,bronze,N?,ICT
1362,ICT715,currency,valuta,bronze,N?,ICT
1363,ICT717,currency linked systems (CLS),valuta kopplade system,bronze,N?,ICT
1364,GF394,current,nuvarande,silver,A,GF
1365,ICT716,current,ström,bronze,N?,ICT
1366,ACM888,Current awareness systems (selective dissemination of information--SDI) [**],,bronze,N?,ACM
1367,ICT718,current starved,ström utsvulten,bronze,N?,ICT
1368,GF395,current,ström,silver,N,GF
1369,ACM1360,Curriculum,Kursplaner,bronze,N?,ACM
1370,GF396,curve, svänga,silver,V,GF
1371,GF397,curve,kurva,silver,N,GF
1372,ACM1120,Curve,Representationer av kurvor,bronze,N?,ACM
1373,ICT720,customer complaint,kundreklamation,bronze,N?,ICT
1374,ICT721,customer customers customize customized,kund kunder,bronze,N?,ICT
1375,ICT722,customer premises equipment,kundplacerad utrustning,bronze,N?,ICT
1376,ICT723,customer relations,kundrelation,bronze,N?,ICT
1377,ICT724,customer relationship management (CRM),kundrelationshantering,bronze,N?,ICT
1378,ICT725,customer retention,kundlojalitet,bronze,N?,ICT
1379,ICT726,customer satisfaction,kundnöjdhet,bronze,N?,ICT
1380,ICT727,customer support,kundsupport,bronze,N?,ICT
1381,ICT728,customer value,kundnytta/kundvärde,bronze,N?,ICT
1382,GF398,customer,kund,silver,N,GF
1383,ICT719,customer|s,kund|er,bronze,N?,ICT
1384,ICT729,cyan,cyan,bronze,N?,ICT
1385,GF399,cyber security,cybersäkerhet,silver,N,GF
1386,GF400,cyberbullying,nätmobbning,silver,N,GF
1387,ACM1390,Cybercash,Cyberpengar,bronze,N?,ACM
1388,GF401,cybernetics,cybernetik,silver,N,GF
1389,GF402,cyberspace,cyberrymd,silver,N,GF
1390,GF403,cycle,cykel,silver,N,GF
1391,ICT730,cycle/cycles,cykel/cykeler,bronze,N?,ICT
1392,GF404,cyclic,cyklisk,silver,A,GF
1393,ICT731,cyclic redundancy check (CRC),cyklisk redundanskontroll,bronze,N?,ICT
1394,ICT732,cycling,cykling,bronze,N?,ICT
1395,GF405,cylinder,cylinder,silver,N,GF
1396,ICT733,cypher,chiffer,bronze,N?,ICT
1397,ICT734,DAB network,DAB-nät,bronze,N?,ICT
1398,ICT735,DAB server,DAB-server,bronze,N?,ICT
1399,GF406,daemon,daemon,silver,N,GF
1400,ICT736,danger,fara,bronze,N?,ICT
1401,ICT737,dashed,streckad,bronze,N?,ICT
1402,ACM534,Data,Data,bronze,N?,ACM
1403,ICT738,data,data,bronze,N?,ICT
1404,ACM399,Data abstraction,Dataabstraktion/Abstraktion av data,bronze,N?,ACM
1405,GF407,data abstraction,dataabstraktion,silver,N,GF
1406,ICT739,data burst,dataskur,bronze,N?,ICT
1407,ICT741,data center model,datacenter modell,bronze,N?,ICT
1408,GF408,data center,datorhall,silver,N,GF
1409,GF409,data collection,datasamling,silver,N,GF
1410,GF410,data communication,datakommunikation,silver,N,GF
1411,ACM1464,Data communications,Datakommunikation,bronze,N?,ACM
1412,ACM233,Data communications,Datakommunikation,bronze,N?,ACM
1413,ACM85,Data Communications Devices,Datakommunikationsenheter,bronze,N?,ACM
1414,ACM557,Data compaction and compression,Datakomprimering,bronze,N?,ACM
1415,ICT742,data concentration unit (DCU),datakoncentratorn enhet,bronze,N?,ICT
1416,ICT743,data confidentiality,datasekretess,bronze,N?,ICT
1417,GF411,data dependency,databeroende,silver,N,GF
1418,ACM836,Data description languages (DDL),Databeskrivningsspråk (DDL),bronze,N?,ACM
