id,eng_lemma,swe_lemma,status,pos,src
ACM1057,Plan execution,Planering,silver,N?,ACM
ACM1027,Predicate logic,Predikatlogik,silver,N?,ACM
ACM1428,Pricing and resource allocation,Prissättning och resursallokering,silver,N?,ACM
ACM69,Primary memory,Primärminne,silver,N?,ACM
ACM1375,Privacy,Personlig integritet,silver,N?,ACM
ACM583,Probabilistic computation,Probabilistisk databehandling,silver,N?,ACM
ACM1051,Problem Solving,Problemlösning,silver,N?,ACM
ACM1333,Process control,Processtyrning,silver,N?,ACM
ACM275,Process control systems,Processtyrningssystem,silver,N?,ACM
ACM469,Process Management,Processtyrning,silver,N?,ACM
ACM625,Process models,Processmodeller,silver,N?,ACM
ACM197,PROCESSOR ARCHITECTURES,PROCESSORARKITEKTURER,silver,N?,ACM
ACM1452,Professional Ethics,Yrkesetik,silver,N?,ACM
ACM626,Program analysis,Programanalys,silver,N?,ACM
ACM340,Program editors,Programeditorer,silver,N?,ACM
ACM1010,Program modification,Programmodifiering,silver,N?,ACM
ACM1011,Program synthesis,Programsyntes,silver,N?,ACM
ACM1012,Program transformation,Programtransformation,silver,N?,ACM
ACM1013,Program verification,Programverifiering,silver,N?,ACM
ACM366,Programming Environments,Programmeringsmiljöer,silver,N?,ACM
ACM415,PROGRAMMING LANGUAGES,PROGRAMSPRÅK,silver,N?,ACM
ACM1033,Programming Languages and Software,Programspråk och program,silver,N?,ACM
ACM390,Programming teams,Programmeringsteam,silver,N?,ACM
ACM302,PROGRAMMING TECHNIQUES,PROGRAMMERINGSTEKNIK,silver,N?,ACM
ACM1415,Project and People Management,Projektstyrning och personaladministration,silver,N?,ACM
ACM1065,Propelling mechanisms,Framdrivningsmekanismer,silver,N?,ACM
ACM1403,Proprietary rights,Äganderättigheter,silver,N?,ACM
ACM316,Protection mechanisms,Skyddsmekanismer,silver,N?,ACM
ACM250,Protocol architecture,Protokollarkitekturer,silver,N?,ACM
ACM251,Protocol verification,Protokollverifiering,silver,N?,ACM
ACM554,Public key cryptosystems,Kryptosystem med öppna nycklar,silver,N?,ACM
ACM256,Public networks,Allmänna nät,silver,N?,ACM
ACM1437,Quality assurance,Kvalitetssäkring,silver,N?,ACM
ACM882,Query formulation,Frågeformulering,silver,N?,ACM
ACM839,Query languages,Frågespråk,silver,N?,ACM
ACM523,Queueing theory,Köteori,silver,N?,ACM
ACM789,Queueing theory,Köteori,silver,N?,ACM
ACM1139,Radiosity,Strålning,silver,N?,ACM
ACM1194,Range data,Omfångsdata,silver,N?,ACM
ACM1092,Raster display devices,Rasterskärmar,silver,N?,ACM
ACM62,Read-only memory,Läsminne,silver,N?,ACM
ACM1335,Real time,Realtid,silver,N?,ACM
ACM276,Real-time and embedded systems,Realtidssystem och inbyggda system,silver,N?,ACM
ACM589,Reducibility and completeness,Reducerbarhet och fullständighet,silver,N?,ACM
ACM1179,Region growing,Regionodling,silver,N?,ACM
ACM1028,Relation systems,Relationssystem,silver,N?,ACM
ACM590,Relations among complexity classes,Relationer mellan komplexitetsklasser,silver,N?,ACM
ACM591,Relations among complexity measures,Relationer mellan komplexitetsmått,silver,N?,ACM
ACM575,Relations between models,Relationer mellan modeller,silver,N?,ACM
ACM585,Relativized computation,Relativiserad databehandling,silver,N?,ACM
ACM791,Reliability and life testing,Tillförlitlighet,silver,N?,ACM
ACM806,Reliability and robustness,Tillförlitlighet och robusthet,silver,N?,ACM
ACM1029,Representation languages,Representationsspråk,silver,N?,ACM
ACM982,Representations,Representationer,silver,N?,ACM
ACM1030,Representations,Representationer,silver,N?,ACM
ACM463,Retargetable compilers,Omriktningsbara kompilatorer,silver,N?,ACM
ACM410,Reusable libraries,Återanvändbara bibliotek,silver,N?,ACM
ACM408,Reusable Software,Återanvändbara program,silver,N?,ACM
ACM411,Reuse models,Återanvändningsmodeller,silver,N?,ACM
ACM606,Routing and layout,Routning och layout,silver,N?,ACM
ACM252,Routing protocols,Routingprotokoll,silver,N?,ACM
ACM464,Run-time environments,Run-timemiljöer,silver,N?,ACM
ACM1188,Scene Analysis,Scenanalys,silver,N?,ACM
ACM864,Scientific databases,Vetenskapliga databaser,silver,N?,ACM
ACM1276,Scripting languages,Skriptspråk,silver,N?,ACM
ACM885,Search process,Sökprocess,silver,N?,ACM
ACM482,Secondary storage,Sekundärminne,silver,N?,ACM
ACM504,Security and Protection,Säkerhet och skydd,silver,N?,ACM
ACM886,Selection process,Selekteringsprocess,silver,N?,ACM
ACM1031,Semantic networks,Semantiska nät,silver,N?,ACM
ACM620,Semantics of Programming Languages,Semantik hos programspråk,silver,N?,ACM
ACM60,Semiconductor Memories,Halvledarminnen,silver,N?,ACM
ACM1195,Sensor fusion,Sensorfusion,silver,N?,ACM
ACM607,Sequencing and scheduling,Sekvensering och schemaläggning,silver,N?,ACM
ACM144,Sequential circuits,Sekventiella kretsar,silver,N?,ACM
ACM309,Sequential Programming,Sekventiell programmering,silver,N?,ACM
ACM1173,Series expansion methods,Serieexpansionsmetoder,silver,N?,ACM
ACM71,Shared memory,Delat minne,silver,N?,ACM
ACM1228,Signal processing,Signalbehandling,silver,N?,ACM
ACM277,Signal processing systems,Signalbehandlingssystem,silver,N?,ACM
ACM1225,Similarity measures,Likhetsmått,silver,N?,ACM
ACM983,Simplification of expressions,Förenkling av uttryck,silver,N?,ACM
ACM1235,SIMULATION AND MODELING,SIMULERING OCH MODELLERING,silver,N?,ACM
ACM1241,Simulation Languages,Simuleringsspråk,silver,N?,ACM
ACM1246,Simulation Output Analysis,Analys av simuleringsutdata,silver,N?,ACM
ACM1247,Simulation Support Systems,Simuleringsstödsystem,silver,N?,ACM
ACM1237,Simulation Theory,Simuleringsteori,silver,N?,ACM
ACM199,Single Data Stream Architectures,Arkitekturer med singeldataström,silver,N?,ACM
ACM1186,Size and shape,Storlek och form,silver,N?,ACM
ACM1312,SOCIAL AND BEHAVIORAL SCIENCES,SOCIALVETENSKAP OCH BETEENDEVETENSKAP,silver,N?,ACM
ACM1379,Social Issues,Sociala frågor,silver,N?,ACM
ACM398,Software Architectures,Programarkitekturer,silver,N?,ACM
ACM1430,Software development,Programutveckling,silver,N?,ACM
ACM314,SOFTWARE ENGINEERING,Programkonstruktion,silver,N?,ACM
ACM332,Software libraries,Programbibliotek,silver,N?,ACM
ACM1431,Software maintenance,Programunderhåll,silver,N?,ACM
ACM1429,Software Management,Programförvaltning,silver,N?,ACM
ACM1432,Software process,Programprocess,silver,N?,ACM
ACM393,Software quality assurance,Programkvalitetssäkring,silver,N?,ACM
ACM1433,Software selection,Val av program,silver,N?,ACM
ACM1115,Software support,Programsupport,silver,N?,ACM
ACM608,Sorting and searching,Sortering och sökning,silver,N?,ACM
ACM1233,Special architectures,Specialarkitekturer,silver,N?,ACM
ACM991,Special-purpose algebraic systems,Specialinriktade algebraiska system,silver,N?,ACM
ACM434,Specialized application languages,Specialiserade applikationsspråk,silver,N?,ACM
ACM619,Specification techniques,Specificeringstekniker,silver,N?,ACM
ACM1049,Speech recognition and synthesis,Taligenkänning och talsyntes,silver,N?,ACM
ACM1126,Splines,Punktkurvor,silver,N?,ACM
ACM333,State diagrams,Tillståndsdiagram,silver,N?,ACM
ACM63,Static memory,Statiskt minne,silver,N?,ACM
ACM866,Statistical databases,Statistiska databaser,silver,N?,ACM
ACM353,Statistical methods,Statistiska metoder,silver,N?,ACM
ACM525,Stochastic analysis,Stokastisk analys,silver,N?,ACM
ACM484,Storage hierarchies,Lagringshierarkier,silver,N?,ACM
ACM477,Storage Management,Lagringshantering,silver,N?,ACM
ACM1419,Strategic information systems planning,Planering av strategiska informationssystem,silver,N?,ACM
ACM343,Structured programming,Strukturerad programmering,silver,N?,ACM
ACM1199,Surface fitting,Ytavpassning,silver,N?,ACM
ACM979,SYMBOLIC AND ALGEBRAIC MANIPULATION,SYMBOLISK OCH ALGEBRAISK MANIPULERING,silver,N?,ACM
ACM363,Symbolic execution,Symbolisk exekvering,silver,N?,ACM
ACM195,System architectures,Systemarkitekturer,silver,N?,ACM
ACM1434,System Management,Systemförvaltning,silver,N?,ACM
